Year,구분,A. 시도,B. 시군구,Value
2001,조혼인율,0.전국,,6.7
2002,조혼인율,0.전국,,6.3
2003,조혼인율,0.전국,,6.3
2004,조혼인율,0.전국,,6.4
2005,조혼인율,0.전국,,6.5
2006,조혼인율,0.전국,,6.8
2007,조혼인율,0.전국,,7
2008,조혼인율,0.전국,,6.6
2009,조혼인율,0.전국,,6.2
2010,조혼인율,0.전국,,6.5
2011,조혼인율,0.전국,,6.6
2012,조혼인율,0.전국,,6.5
2013,조혼인율,0.전국,,6.4
2014,조혼인율,0.전국,,6
2015,조혼인율,0.전국,,5.9
2016,조혼인율,0.전국,,5.5
2017,조혼인율,0.전국,,5.2
2018,조혼인율,0.전국,,5
2019,조혼인율,0.전국,,4.7
2020,조혼인율,0.전국,,4.2
2021,조혼인율,0.전국,,3.8
2001,조혼인율,1.수도권,,7.332382848
2002,조혼인율,1.수도권,,7.003497934
2003,조혼인율,1.수도권,,6.864286282
2004,조혼인율,1.수도권,,6.831386628
2005,조혼인율,1.수도권,,6.865131162
2006,조혼인율,1.수도권,,7.139804179
2007,조혼인율,1.수도권,,7.378025341
2008,조혼인율,1.수도권,,6.972689355
2009,조혼인율,1.수도권,,6.543234448
2010,조혼인율,1.수도권,,6.799661284
2011,조혼인율,1.수도권,,6.85055968
2012,조혼인율,1.수도권,,6.832601624
2013,조혼인율,1.수도권,,6.603649918
2014,조혼인율,1.수도권,,6.247490347
2015,조혼인율,1.수도권,,6.178021204
2016,조혼인율,1.수도권,,5.699935822
2017,조혼인율,1.수도권,,5.34862541
2018,조혼인율,1.수도권,,5.259395149
2019,조혼인율,1.수도권,,4.853928429
2020,조혼인율,1.수도권,,4.445207811
2021,조혼인율,1.수도권,,3.978746986
2001,조혼인율,2.서울특별시,,7.5
2002,조혼인율,2.서울특별시,,7.1
2003,조혼인율,2.서울특별시,,7.1
2004,조혼인율,2.서울특별시,,7
2005,조혼인율,2.서울특별시,,7
2006,조혼인율,2.서울특별시,,7.3
2007,조혼인율,2.서울특별시,,7.5
2008,조혼인율,2.서울특별시,,7
2009,조혼인율,2.서울특별시,,6.7
2010,조혼인율,2.서울특별시,,6.9
2011,조혼인율,2.서울특별시,,7.1
2012,조혼인율,2.서울특별시,,7.1
2013,조혼인율,2.서울특별시,,6.9
2014,조혼인율,2.서울특별시,,6.5
2015,조혼인율,2.서울특별시,,6.5
2016,조혼인율,2.서울특별시,,5.9
2017,조혼인율,2.서울특별시,,5.5
2018,조혼인율,2.서울특별시,,5.4
2019,조혼인율,2.서울특별시,,5
2020,조혼인율,2.서울특별시,,4.7
2021,조혼인율,2.서울특별시,,3.9
2001,조혼인율,2.서울특별시,강남구,7.2
2002,조혼인율,2.서울특별시,강남구,6.8
2003,조혼인율,2.서울특별시,강남구,6.4
2004,조혼인율,2.서울특별시,강남구,6.5
2005,조혼인율,2.서울특별시,강남구,6.8
2006,조혼인율,2.서울특별시,강남구,7.1
2007,조혼인율,2.서울특별시,강남구,6.9
2008,조혼인율,2.서울특별시,강남구,6.5
2009,조혼인율,2.서울특별시,강남구,6.3
2010,조혼인율,2.서울특별시,강남구,6.5
2011,조혼인율,2.서울특별시,강남구,6.6
2012,조혼인율,2.서울특별시,강남구,6.7
2013,조혼인율,2.서울특별시,강남구,6.5
2014,조혼인율,2.서울특별시,강남구,6.3
2015,조혼인율,2.서울특별시,강남구,6
2016,조혼인율,2.서울특별시,강남구,5.4
2017,조혼인율,2.서울특별시,강남구,4.9
2018,조혼인율,2.서울특별시,강남구,4.7
2019,조혼인율,2.서울특별시,강남구,4.4
2020,조혼인율,2.서울특별시,강남구,3.9
2021,조혼인율,2.서울특별시,강남구,3.2
2001,조혼인율,2.서울특별시,강동구,6.6
2002,조혼인율,2.서울특별시,강동구,6.5
2003,조혼인율,2.서울특별시,강동구,6.2
2004,조혼인율,2.서울특별시,강동구,6.1
2005,조혼인율,2.서울특별시,강동구,6.3
2006,조혼인율,2.서울특별시,강동구,6.4
2007,조혼인율,2.서울특별시,강동구,6.9
2008,조혼인율,2.서울특별시,강동구,6.8
2009,조혼인율,2.서울특별시,강동구,7
2010,조혼인율,2.서울특별시,강동구,7.2
2011,조혼인율,2.서울특별시,강동구,7.1
2012,조혼인율,2.서울특별시,강동구,6.8
2013,조혼인율,2.서울특별시,강동구,6.6
2014,조혼인율,2.서울특별시,강동구,6.3
2015,조혼인율,2.서울특별시,강동구,6
2016,조혼인율,2.서울특별시,강동구,5.4
2017,조혼인율,2.서울특별시,강동구,5.6
2018,조혼인율,2.서울특별시,강동구,5.6
2019,조혼인율,2.서울특별시,강동구,5
2020,조혼인율,2.서울특별시,강동구,5.5
2021,조혼인율,2.서울특별시,강동구,4.1
2001,조혼인율,2.서울특별시,강북구,6.9
2002,조혼인율,2.서울특별시,강북구,6.9
2003,조혼인율,2.서울특별시,강북구,6.4
2004,조혼인율,2.서울특별시,강북구,6.2
2005,조혼인율,2.서울특별시,강북구,6.1
2006,조혼인율,2.서울특별시,강북구,6.3
2007,조혼인율,2.서울특별시,강북구,6.9
2008,조혼인율,2.서울특별시,강북구,6.5
2009,조혼인율,2.서울특별시,강북구,6
2010,조혼인율,2.서울특별시,강북구,6.3
2011,조혼인율,2.서울특별시,강북구,6.2
2012,조혼인율,2.서울특별시,강북구,6.5
2013,조혼인율,2.서울특별시,강북구,5.9
2014,조혼인율,2.서울특별시,강북구,5.5
2015,조혼인율,2.서울특별시,강북구,5.2
2016,조혼인율,2.서울특별시,강북구,4.6
2017,조혼인율,2.서울특별시,강북구,4.5
2018,조혼인율,2.서울특별시,강북구,4.3
2019,조혼인율,2.서울특별시,강북구,4.1
2020,조혼인율,2.서울특별시,강북구,3.4
2021,조혼인율,2.서울특별시,강북구,3
2001,조혼인율,2.서울특별시,강서구,7.4
2002,조혼인율,2.서울특별시,강서구,7.2
2003,조혼인율,2.서울특별시,강서구,7.5
2004,조혼인율,2.서울특별시,강서구,7.1
2005,조혼인율,2.서울특별시,강서구,7.1
2006,조혼인율,2.서울특별시,강서구,7.5
2007,조혼인율,2.서울특별시,강서구,7.6
2008,조혼인율,2.서울특별시,강서구,7.5
2009,조혼인율,2.서울특별시,강서구,7.2
2010,조혼인율,2.서울특별시,강서구,7.5
2011,조혼인율,2.서울특별시,강서구,7.6
2012,조혼인율,2.서울특별시,강서구,7.9
2013,조혼인율,2.서울특별시,강서구,7.7
2014,조혼인율,2.서울특별시,강서구,7.6
2015,조혼인율,2.서울특별시,강서구,7.9
2016,조혼인율,2.서울특별시,강서구,7
2017,조혼인율,2.서울특별시,강서구,6.9
2018,조혼인율,2.서울특별시,강서구,6.5
2019,조혼인율,2.서울특별시,강서구,6.1
2020,조혼인율,2.서울특별시,강서구,5.6
2021,조혼인율,2.서울특별시,강서구,4.7
2001,조혼인율,2.서울특별시,관악구,9.1
2002,조혼인율,2.서울특별시,관악구,8.6
2003,조혼인율,2.서울특별시,관악구,8.9
2004,조혼인율,2.서울특별시,관악구,8.9
2005,조혼인율,2.서울특별시,관악구,8.4
2006,조혼인율,2.서울특별시,관악구,8.7
2007,조혼인율,2.서울특별시,관악구,9.1
2008,조혼인율,2.서울특별시,관악구,8.4
2009,조혼인율,2.서울특별시,관악구,8.1
2010,조혼인율,2.서울특별시,관악구,8.3
2011,조혼인율,2.서울특별시,관악구,8.4
2012,조혼인율,2.서울특별시,관악구,8.6
2013,조혼인율,2.서울특별시,관악구,8.2
2014,조혼인율,2.서울특별시,관악구,7.8
2015,조혼인율,2.서울특별시,관악구,7.7
2016,조혼인율,2.서울특별시,관악구,7.1
2017,조혼인율,2.서울특별시,관악구,6.4
2018,조혼인율,2.서울특별시,관악구,6.2
2019,조혼인율,2.서울특별시,관악구,5.7
2020,조혼인율,2.서울특별시,관악구,5.2
2021,조혼인율,2.서울특별시,관악구,4.4
2001,조혼인율,2.서울특별시,광진구,8.2
2002,조혼인율,2.서울특별시,광진구,8.3
2003,조혼인율,2.서울특별시,광진구,7.8
2004,조혼인율,2.서울특별시,광진구,7.4
2005,조혼인율,2.서울특별시,광진구,7.4
2006,조혼인율,2.서울특별시,광진구,8.2
2007,조혼인율,2.서울특별시,광진구,8.1
2008,조혼인율,2.서울특별시,광진구,7.2
2009,조혼인율,2.서울특별시,광진구,7.1
2010,조혼인율,2.서울특별시,광진구,7.2
2011,조혼인율,2.서울특별시,광진구,7.5
2012,조혼인율,2.서울특별시,광진구,7.6
2013,조혼인율,2.서울특별시,광진구,7.4
2014,조혼인율,2.서울특별시,광진구,7.2
2015,조혼인율,2.서울특별시,광진구,7.2
2016,조혼인율,2.서울특별시,광진구,6.5
2017,조혼인율,2.서울특별시,광진구,5.9
2018,조혼인율,2.서울특별시,광진구,6.2
2019,조혼인율,2.서울특별시,광진구,5.4
2020,조혼인율,2.서울특별시,광진구,4.8
2021,조혼인율,2.서울특별시,광진구,4.1
2001,조혼인율,2.서울특별시,구로구,8
2002,조혼인율,2.서울특별시,구로구,7.7
2003,조혼인율,2.서울특별시,구로구,7.6
2004,조혼인율,2.서울특별시,구로구,8.2
2005,조혼인율,2.서울특별시,구로구,8.3
2006,조혼인율,2.서울특별시,구로구,8.9
2007,조혼인율,2.서울특별시,구로구,9.4
2008,조혼인율,2.서울특별시,구로구,8.7
2009,조혼인율,2.서울특별시,구로구,7.8
2010,조혼인율,2.서울특별시,구로구,8.3
2011,조혼인율,2.서울특별시,구로구,8.2
2012,조혼인율,2.서울특별시,구로구,8.5
2013,조혼인율,2.서울특별시,구로구,8
2014,조혼인율,2.서울특별시,구로구,7.5
2015,조혼인율,2.서울특별시,구로구,7.3
2016,조혼인율,2.서울특별시,구로구,6.4
2017,조혼인율,2.서울특별시,구로구,6
2018,조혼인율,2.서울특별시,구로구,5.7
2019,조혼인율,2.서울특별시,구로구,5.1
2020,조혼인율,2.서울특별시,구로구,5.1
2021,조혼인율,2.서울특별시,구로구,4.2
2001,조혼인율,2.서울특별시,금천구,7.1
2002,조혼인율,2.서울특별시,금천구,7
2003,조혼인율,2.서울특별시,금천구,6.9
2004,조혼인율,2.서울특별시,금천구,7
2005,조혼인율,2.서울특별시,금천구,6.7
2006,조혼인율,2.서울특별시,금천구,7.1
2007,조혼인율,2.서울특별시,금천구,7.2
2008,조혼인율,2.서울특별시,금천구,6.7
2009,조혼인율,2.서울특별시,금천구,6.3
2010,조혼인율,2.서울특별시,금천구,7
2011,조혼인율,2.서울특별시,금천구,6.9
2012,조혼인율,2.서울특별시,금천구,7.1
2013,조혼인율,2.서울특별시,금천구,6.7
2014,조혼인율,2.서울특별시,금천구,6.6
2015,조혼인율,2.서울특별시,금천구,6.3
