Year,시도,Value
2007,0.전국,1621
2008,0.전국,1564
2009,0.전국,1475
2010,0.전국,1385
2011,0.전국,1350
2012,0.전국,1320
2013,0.전국,1305
2014,0.전국,1286
2015,0.전국,1224
2016,0.전국,1186
2017,0.전국,1091
2018,0.전국,1013
2019,0.전국,926
2020,0.전국,859
2021,0.전국,806
2007,1.수도권,1946.669131
2008,1.수도권,1907.396451
2009,1.수도권,1824.129517
2010,1.수도권,1833.146239
2011,1.수도권,1754.185188
2012,1.수도권,1700.331371
2013,1.수도권,1691.538776
2014,1.수도권,1650.098953
2015,1.수도권,1571.289451
2016,1.수도권,1535.673608
2017,1.수도권,1433.508038
2018,1.수도권,1372.860305
2019,1.수도권,1313.762998
2020,1.수도권,1251.661155
2021,1.수도권,1197.408687
2007,2.서울특별시,1931
2008,2.서울특별시,1915
2009,2.서울특별시,1814
2010,2.서울특별시,1778
2011,2.서울특별시,1694
2012,2.서울특별시,1603
2013,2.서울특별시,1560
2014,2.서울특별시,1514
2015,2.서울특별시,1470
2016,2.서울특별시,1456
2017,2.서울특별시,1418
2018,2.서울특별시,1395
2019,2.서울특별시,1379
2020,2.서울특별시,1344
2021,2.서울특별시,1287
2007,3.인천광역시,1579
2008,3.인천광역시,1400
2009,3.인천광역시,1232
2010,3.인천광역시,1241
2011,3.인천광역시,1252
2012,3.인천광역시,1266
2013,3.인천광역시,1277
2014,3.인천광역시,1278
2015,3.인천광역시,1233
2016,3.인천광역시,1198
2017,3.인천광역시,1114
2018,3.인천광역시,1037
2019,3.인천광역시,987
2020,3.인천광역시,926
2021,3.인천광역시,896
2007,4.경기도,2079
2008,4.경기도,2080
2009,4.경기도,2069
2010,4.경기도,2128
2011,4.경기도,2004
2012,4.경기도,1958
2013,4.경기도,1981
2014,4.경기도,1923
2015,4.경기도,1784
2016,4.경기도,1721
2017,4.경기도,1548
2018,4.경기도,1463
2019,4.경기도,1367
2020,4.경기도,1288
2021,4.경기도,1227
