Year,지역,Value
2015,0.전국,25.51952191
2016,0.전국,25.92039258
2017,0.전국,24.94200564
2018,0.전국,23.0761523
2019,0.전국,23.12542838
2020,0.전국,18.68861454
2015,1.수도권,24.8356998
2016,1.수도권,26.85233918
2017,1.수도권,25.96435644
2018,1.수도권,24.18819188
2019,1.수도권,25.18989899
2020,1.수도권,20.56740563
2015,2.충청권,28.92682927
2016,2.충청권,24.75862069
2017,2.충청권,23.9047619
2018,2.충청권,22.54290718
2019,2.충청권,25.78800558
2020,2.충청권,20.40071344
2015,3.호남권,26.87261146
2016,3.호남권,25.84892086
2017,3.호남권,24.64942529
2018,3.호남권,22.76923077
2019,3.호남권,21.96448087
2020,3.호남권,16.99579832
2015,4.대경권,25.88372093
2016,4.대경권,23.72262774
2017,4.대경권,23.25438596
2018,4.대경권,23.14776632
2019,4.대경권,20.9119171
2020,4.대경권,17.16348449
2015,5.동남권,25.44471154
2016,5.동남권,25.65647059
2017,5.동남권,24.6440281
2018,5.동남권,21.81064163
2019,5.동남권,19.80577428
2020,5.동남권,17.46896552
2015,6.강원권,26.04347826
2016,6.강원권,28.26760563
2017,6.강원권,25.69620253
2018,6.강원권,22.40425532
2019,6.강원권,21.12340426
2020,6.강원권,16.42890173
2015,7.제주권,23.0625
2016,7.제주권,22.16666667
2017,7.제주권,21.76470588
2018,7.제주권,19
2019,7.제주권,18.61666667
2020,7.제주권,15.45833333
