Year,시도,Value
2016,0.전국,1190177
2017,0.전국,1256267
2018,0.전국,1344366
2019,0.전국,1285259
2020,0.전국,1484667
2021,0.전국,1417973
2016,1.수도권,630378
2017,1.수도권,670035
2018,1.수도권,747529
2019,1.수도권,703690
2020,1.수도권,838947
2021,1.수도권,814160
2016,2.서울특별시,240617
2017,2.서울특별시,249581
2018,2.서울특별시,289280
2019,2.서울특별시,262970
2020,2.서울특별시,309896
2021,2.서울특별시,276758
2016,3.인천광역시,68527
2017,3.인천광역시,75594
2018,3.인천광역시,79350
2019,3.인천광역시,79719
2020,3.인천광역시,97059
2021,3.인천광역시,96818
2016,4.경기도,321234
2017,4.경기도,344860
2018,4.경기도,378899
2019,4.경기도,361001
2020,4.경기도,431992
2021,4.경기도,440584
