Year,시도,시군구,Value
2012,0.전국,,84.72086353
2013,0.전국,,85.95622329
2014,0.전국,,85.87673968
2015,0.전국,,86.43926079
2016,0.전국,,86.9953086
2017,0.전국,,87.39326152
2018,0.전국,,86.86581381
2019,0.전국,,86.54905838
2020,0.전국,,86.19461008
2012,1.수도권,,87.17796413
2013,1.수도권,,87.80885515
2014,1.수도권,,88.25601056
2015,1.수도권,,88.25416995
2016,1.수도권,,88.41664318
2017,1.수도권,,88.14425972
2018,1.수도권,,87.26102782
2019,1.수도권,,86.84280518
2020,1.수도권,,86.39013679
2012,2.서울특별시,,87.73061371
2013,2.서울특별시,,87.63454168
2014,2.서울특별시,,89.60881889
2015,2.서울특별시,,88.91170983
2016,2.서울특별시,,89.5702962
2017,2.서울특별시,,89.03780986
2018,2.서울특별시,,88.83727391
2019,2.서울특별시,,88.12504147
2020,2.서울특별시,,87.56189537
2016,2.서울특별시,강남구,85.78533511
2017,2.서울특별시,강남구,86.56063527
2018,2.서울특별시,강남구,87.04318355
2019,2.서울특별시,강남구,86.400812
2020,2.서울특별시,강남구,84.93942272
2016,2.서울특별시,강동구,88.10042822
2017,2.서울특별시,강동구,83.36530511
2018,2.서울특별시,강동구,83.85566909
2019,2.서울특별시,강동구,85.8861593
2020,2.서울특별시,강동구,86.61188314
2016,2.서울특별시,강북구,88.05314933
2017,2.서울특별시,강북구,87.95675264
2018,2.서울특별시,강북구,88.09951944
2019,2.서울특별시,강북구,86.7569795
2020,2.서울특별시,강북구,87.0592702
2016,2.서울특별시,강서구,81.84273026
2017,2.서울특별시,강서구,82.48607686
2018,2.서울특별시,강서구,82.41228185
2019,2.서울특별시,강서구,82.33178852
2020,2.서울특별시,강서구,82.2016245
2016,2.서울특별시,관악구,89.70632147
2017,2.서울특별시,관악구,90.3543529
2018,2.서울특별시,관악구,90.1956084
2019,2.서울특별시,관악구,89.52863443
2020,2.서울특별시,관악구,89.41740875
2016,2.서울특별시,광진구,96.41073394
2017,2.서울특별시,광진구,96.84757341
2018,2.서울특별시,광진구,96.80165347
2019,2.서울특별시,광진구,96.19440829
2020,2.서울특별시,광진구,96.30755187
2016,2.서울특별시,구로구,92.25448597
2017,2.서울특별시,구로구,91.72611025
2018,2.서울특별시,구로구,90.06735223
2019,2.서울특별시,구로구,87.83203411
2020,2.서울특별시,구로구,87.29964214
2016,2.서울특별시,금천구,90.49000645
2017,2.서울특별시,금천구,89.72462047
2018,2.서울특별시,금천구,88.50622279
2019,2.서울특별시,금천구,87.62012774
2020,2.서울특별시,금천구,86.861229
2016,2.서울특별시,노원구,84.72062768
2017,2.서울특별시,노원구,84.51543911
2018,2.서울특별시,노원구,85.00747857
2019,2.서울특별시,노원구,84.73817351
2020,2.서울특별시,노원구,83.98735816
2016,2.서울특별시,도봉구,96.2311606
2017,2.서울특별시,도봉구,96.27978463
2018,2.서울특별시,도봉구,96.10427762
2019,2.서울특별시,도봉구,95.51016963
2020,2.서울특별시,도봉구,95.23031841
2016,2.서울특별시,동대문구,91.04640073
2017,2.서울특별시,동대문구,91.00325873
2018,2.서울특별시,동대문구,89.5696514
2019,2.서울특별시,동대문구,88.16840137
2020,2.서울특별시,동대문구,88.97507728
2016,2.서울특별시,동작구,92.12207685
2017,2.서울특별시,동작구,92.1065371
2018,2.서울특별시,동작구,91.43816053
2019,2.서울특별시,동작구,90.82076906
2020,2.서울특별시,동작구,91.37741643
2016,2.서울특별시,마포구,86.38059701
2017,2.서울특별시,마포구,86.23885767
2018,2.서울특별시,마포구,86.19782666
2019,2.서울특별시,마포구,86.09867726
2020,2.서울특별시,마포구,85.38234501
2016,2.서울특별시,서대문구,89.62689141
2017,2.서울특별시,서대문구,88.93832496
2018,2.서울특별시,서대문구,88.34260782
2019,2.서울특별시,서대문구,89.00897394
2020,2.서울특별시,서대문구,87.84492656
2016,2.서울특별시,서초구,90.50281487
2017,2.서울특별시,서초구,90.36339813
2018,2.서울특별시,서초구,88.22780975
2019,2.서울특별시,서초구,88.81140108
2020,2.서울특별시,서초구,86.88215206
2016,2.서울특별시,성동구,87.04693925
2017,2.서울특별시,성동구,86.90478938
2018,2.서울특별시,성동구,87.99043607
2019,2.서울특별시,성동구,87.66875007
2020,2.서울특별시,성동구,87.30523711
2016,2.서울특별시,성북구,91.51919814
2017,2.서울특별시,성북구,90.41035131
2018,2.서울특별시,성북구,90.22647199
2019,2.서울특별시,성북구,87.06216056
2020,2.서울특별시,성북구,88.04726557
2016,2.서울특별시,송파구,93.85677479
2017,2.서울특별시,송파구,92.7269769
2018,2.서울특별시,송파구,92.43462719
2019,2.서울특별시,송파구,88.09297913
2020,2.서울특별시,송파구,87.2505648
2016,2.서울특별시,양천구,89.67969721
2017,2.서울특별시,양천구,89.95374154
2018,2.서울특별시,양천구,89.89263692
2019,2.서울특별시,양천구,89.2530978
