Indicator,Disaggregation combinations using this value
#10-1-1,1
#10-1-2,1
#10-1-3,26
#10-1-4,26
#10-1-6,26
#10-2-1,26
#10-2-2,1
#10-2-3,1
#10-2-4,1
#11-1-1,26
#11-1-2,1
#11-1-3,26
#11-1-4,1
#11-1-5,1
#11-2-5-1,26
#5-1-1,27
#5-1-2,27
#5-1-3,27
#5-2-1,1
#5-2-2,26
#5-2-3,26
#5-2-4,1
#5-2-5,26
#5-2-6,1
#5-3-1,1
#5-3-2,26
#5-3-3,1
#5-3-4,1
#5-4-1,26
#5-4-2,26
#5-4-3,26
#5-4-4,1
#5-4-5,26
#5-4-6,26
#6-1-1,1
#6-1-2,1
#6-1-3,1
#6-2-1,1
#6-2-2,1
#6-2-3,1
#6-2-4,2
#6-3-1,1
#6-3-2,1
#6-3-3,1
#7-1-1,1
#7-1-2,26
#7-1-3,1
#7-1-4,1
#8-1-1,1
#9-1-1,26
#9-1-2,26
#9-1-3,26
#9-1-4,26
#9-1-5,26
#9-1-6,26
#9-2-1,1
#9-2-2,26
#9-2-3,1
#9-2-4,1
#9-2-5,1
#9-3-1,1
#9-3-2,1
#9-3-3,1
#9-3-4,1
#9-3-5,1
#9-3-6,1
#9-4-1,1
#9-4-2,1
#9-4-3,1
#9-5-1,1
#9-5-2,1
#9-5-3,26
#9-6-1,1
#9-6-2,1
#9-6-3,26
#9-6-4,26
#9-6-5,1
