Indicator,Disaggregation combinations using this value
#10-1-1,1
#10-1-2,1
#10-1-3,32
#10-1-4,32
#10-1-6,32
#10-2-1,32
#10-2-2,1
#10-2-3,1
#10-2-4,1
#11-1-1,32
#11-1-2,1
#11-1-3,32
#11-1-4,1
#11-1-5,1
#11-2-3-1,1
#11-2-4-1,1
#11-2-5,32
#5-1-1,33
#5-1-2,33
#5-1-3,33
#5-2-1,1
#5-2-2,32
#5-2-3,32
#5-2-4,1
#5-2-5,32
#5-2-6,1
#5-3-1,1
#5-3-2,32
#5-3-3,1
#5-3-4,1
#5-4-1,32
#5-4-2,32
#5-4-3,32
#5-4-4,1
#5-4-5,32
#5-4-6,32
#6-1-1,1
#6-1-2,1
#6-1-3,1
#6-2-1,1
#6-2-2,1
#6-2-3,1
#6-2-4,2
#6-3-1,1
#6-3-2,1
#6-3-3,1
#7-1-1,1
#7-1-2,32
#7-1-3,1
#7-1-4,1
#8-1-1,1
#9-1-1,32
#9-1-2,32
#9-1-3,32
#9-1-4,32
#9-1-5,32
#9-1-6,32
#9-2-1,1
#9-2-2,32
#9-2-3,1
#9-2-4,1
#9-2-5,1
#9-3-1,1
#9-3-2,1
#9-3-3,1
#9-3-4,1
#9-3-5,1
#9-3-6,1
#9-4-1,1
#9-4-2,1
#9-4-3,1
#9-5-1,1
#9-5-2,1
#9-5-3,32
#9-6-1,1
#9-6-2,1
#9-6-3,32
#9-6-4,32
#9-6-5,1
