Year,지역,Value
2006,0.전국,1.39388719
2007,0.전국,1.432006794
2008,0.전국,1.521456053
2009,0.전국,1.584376555
2010,0.전국,1.570274579
2011,0.전국,1.687118552
2012,0.전국,1.723317922
2013,0.전국,1.794143219
2014,0.전국,1.83059927
2015,0.전국,1.866001812
2016,0.전국,1.911706503
2017,0.전국,1.956658648
2018,0.전국,1.997451135
2019,0.전국,2.057524371
2020,0.전국,2.102776206
2006,1.수도권,1.46873525
2007,1.수도권,1.491848353
2008,1.수도권,1.604592916
2009,1.수도권,1.672758879
2010,1.수도권,1.658670321
2011,1.수도권,1.793007652
2012,1.수도권,1.834780633
2013,1.수도권,1.930370554
2014,1.수도권,1.964575635
2015,1.수도권,1.996801902
2016,1.수도권,2.041697056
2017,1.수도권,2.095852391
2018,1.수도권,2.148324405
2019,1.수도권,2.216827446
2020,1.수도권,2.27619535
2006,2.충청권,1.349423858
2007,2.충청권,1.354995507
2008,2.충청권,1.426053913
2009,2.충청권,1.484268531
2010,2.충청권,1.454759782
2011,2.충청권,1.533460255
2012,2.충청권,1.558824591
2013,2.충청권,1.589718618
2014,2.충청권,1.620278373
2015,2.충청권,1.650461949
2016,2.충청권,1.676011498
2017,2.충청권,1.710037469
2018,2.충청권,1.732366143
2019,2.충청권,1.774296886
2020,2.충청권,1.799557196
2006,3.호남권,1.418836129
2007,3.호남권,1.47036182
2008,3.호남권,1.536859786
2009,3.호남권,1.595595418
2010,3.호남권,1.580801413
2011,3.호남권,1.696493673
2012,3.호남권,1.718213717
2013,3.호남권,1.773393406
2014,3.호남권,1.807393758
2015,3.호남권,1.861759472
2016,3.호남권,1.919204707
2017,3.호남권,1.961500166
2018,3.호남권,1.985545915
2019,3.호남권,2.042657912
2020,3.호남권,2.061593898
2006,4.대경권,1.279022974
2007,4.대경권,1.363603411
2008,4.대경권,1.436959448
2009,4.대경권,1.491142239
2010,4.대경권,1.471700871
2011,4.대경권,1.554143205
2012,4.대경권,1.596235942
2013,4.대경권,1.641384104
2014,4.대경권,1.678027443
2015,4.대경권,1.700783528
2016,4.대경권,1.749534097
2017,4.대경권,1.778541341
2018,4.대경권,1.825555292
2019,4.대경권,1.881985359
2020,4.대경권,1.91598349
2006,5.동남권,1.286118152
2007,5.동남권,1.353277845
2008,5.동남권,1.408787413
2009,5.동남권,1.470179809
2010,5.동남권,1.456847439
2011,5.동남권,1.585912278
2012,5.동남권,1.619685018
2013,5.동남권,1.670048941
2014,5.동남권,1.719580292
2015,5.동남권,1.76526865
2016,5.동남권,1.824107891
2017,5.동남권,1.860126988
2018,5.동남권,1.887959146
2019,5.동남권,1.939848093
2020,5.동남권,1.976202353
2006,6.강원권,1.341050114
2007,6.강원권,1.362476597
2008,6.강원권,1.432089766
2009,6.강원권,1.472143296
2010,6.강원권,1.488783266
2011,6.강원권,1.520891519
2012,6.강원권,1.542421852
2013,6.강원권,1.574156839
2014,6.강원권,1.619201891
2015,6.강원권,1.642797517
2016,6.강원권,1.676132203
2017,6.강원권,1.710821123
2018,6.강원권,1.735797413
2019,6.강원권,1.778687219
2020,6.강원권,1.827054537
2006,7.제주권,1.121798462
2007,7.제주권,1.136207072
2008,7.제주권,1.264425704
2009,7.제주권,1.322910296
2010,7.제주권,1.388003783
2011,7.제주권,1.458676264
2012,7.제주권,1.497403023
2013,7.제주권,1.609375468
2014,7.제주권,1.612071243
2015,7.제주권,1.670108573
2016,7.제주권,1.667147013
2017,7.제주권,1.726556599
2018,7.제주권,1.731454064
2019,7.제주권,1.770942526
2020,7.제주권,1.775896809
