Year,시도,시군구,Value
2001,0.전국,,0.65
2002,0.전국,,0.47
2003,0.전국,,0.63
2004,0.전국,,0.47
2005,0.전국,,0.44
2006,0.전국,,0.72
2007,0.전국,,0.83
2008,0.전국,,0.72
2009,0.전국,,0.49
2010,0.전국,,1.56
2011,0.전국,,0.55
2012,0.전국,,0.32
2013,0.전국,,0.47
2014,0.전국,,0.56
2015,0.전국,,0.48
2016,0.전국,,0.35
2017,0.전국,,0.17
2018,0.전국,,0.23
2019,0.전국,,0.09
2020,0.전국,,-0.28
2021,0.전국,,-0.46
2001,1.수도권,,1.39
2002,1.수도권,,1.56
2003,1.수도권,,1.59
2004,1.수도권,,1.24
2005,1.수도권,,1.08
2006,1.수도권,,1.45
2007,1.수도권,,1.43
2008,1.수도권,,1.12
2009,1.수도권,,0.82
2010,1.수도권,,2.03
2011,1.수도권,,0.65
2012,1.수도권,,0.37
2013,1.수도권,,0.59
2014,1.수도권,,0.66
2015,1.수도권,,0.52
2016,1.수도권,,0.47
2017,1.수도권,,0.36
2018,1.수도권,,0.63
2019,1.수도권,,0.51
2020,1.수도권,,0.13
2021,1.수도권,,-0.194898956
2001,2.서울특별시,,-0.4
2002,2.서울특별시,,-0.49
2003,2.서울특별시,,-0.03
2004,2.서울특별시,,0.11
2005,2.서울특별시,,0.09
2006,2.서울특별시,,0.57
2007,2.서울특별시,,0.63
2008,2.서울특별시,,0.33
2009,2.서울특별시,,0.08
2010,2.서울특별시,,1.06
2011,2.서울특별시,,-0.44
2012,2.서울특별시,,-0.82
2013,2.서울특별시,,-0.52
2014,2.서울특별시,,-0.18
2015,2.서울특별시,,-0.7
2016,2.서울특별시,,-0.9
2017,2.서울특별시,,-0.78
2018,2.서울특별시,,-0.74
2019,2.서울특별시,,-0.38
2020,2.서울특별시,,-1.0
2021,2.서울특별시,,-1.77
2001,2.서울특별시,강남구,-1.7
2002,2.서울특별시,강남구,-0.96
2003,2.서울특별시,강남구,-0.88
2004,2.서울특별시,강남구,0.62
2005,2.서울특별시,강남구,1.57
2006,2.서울특별시,강남구,3.08
2007,2.서울특별시,강남구,0.8
2008,2.서울특별시,강남구,-0.62
2009,2.서울특별시,강남구,0.69
2010,2.서울특별시,강남구,1.33
2011,2.서울특별시,강남구,-0.7
2012,2.서울특별시,강남구,-0.53
2013,2.서울특별시,강남구,-0.15
2014,2.서울특별시,강남구,2.51
2015,2.서울특별시,강남구,-0.29
2016,2.서울특별시,강남구,-1.65
2017,2.서울특별시,강남구,-1.94
2018,2.서울특별시,강남구,-2.42
2019,2.서울특별시,강남구,0.5
2020,2.서울특별시,강남구,-1.12
2021,2.서울특별시,강남구,-1.15
2001,2.서울특별시,강동구,-1.44
2002,2.서울특별시,강동구,-1.55
2003,2.서울특별시,강동구,-0.77
2004,2.서울특별시,강동구,-1.22
2005,2.서울특별시,강동구,-1.43
2006,2.서울특별시,강동구,-0.31
2007,2.서울특별시,강동구,0.82
2008,2.서울특별시,강동구,1.06
2009,2.서울특별시,강동구,3.31
2010,2.서울특별시,강동구,1.49
2011,2.서울특별시,강동구,0.72
2012,2.서울특별시,강동구,-1.56
2013,2.서울특별시,강동구,-0.97
2014,2.서울특별시,강동구,-1.36
2015,2.서울특별시,강동구,-3.74
2016,2.서울특별시,강동구,-3.21
2017,2.서울특별시,강동구,-1.81
2018,2.서울특별시,강동구,-1.92
2019,2.서울특별시,강동구,1.96
2020,2.서울특별시,강동구,5.36
2021,2.서울특별시,강동구,0.53
2001,2.서울특별시,강북구,-0.13
2002,2.서울특별시,강북구,3.01
2003,2.서울특별시,강북구,-0.22
2004,2.서울특별시,강북구,0.05
2005,2.서울특별시,강북구,-1.92
2006,2.서울특별시,강북구,-1.04
2007,2.서울특별시,강북구,-0.83
2008,2.서울특별시,강북구,-0.85
2009,2.서울특별시,강북구,-0.53
2010,2.서울특별시,강북구,1.77
2011,2.서울특별시,강북구,-0.36
2012,2.서울특별시,강북구,-0.64
2013,2.서울특별시,강북구,-1.32
2014,2.서울특별시,강북구,-1.03
2015,2.서울특별시,강북구,-1.18
2016,2.서울특별시,강북구,-1.11
2017,2.서울특별시,강북구,-0.82
2018,2.서울특별시,강북구,-1.55
2019,2.서울특별시,강북구,-1.62
2020,2.서울특별시,강북구,-1.93
2021,2.서울특별시,강북구,-2.89
2001,2.서울특별시,강서구,0.11
2002,2.서울특별시,강서구,1.27
2003,2.서울특별시,강서구,1.79
2004,2.서울특별시,강서구,0.94
2005,2.서울특별시,강서구,2.31
2006,2.서울특별시,강서구,0.44
2007,2.서울특별시,강서구,1.19
2008,2.서울특별시,강서구,3.01
2009,2.서울특별시,강서구,-0.75
2010,2.서울특별시,강서구,0.23
2011,2.서울특별시,강서구,-0.8
2012,2.서울특별시,강서구,-0.36
2013,2.서울특별시,강서구,0.25
2014,2.서울특별시,강서구,2.85
2015,2.서울특별시,강서구,0.68
2016,2.서울특별시,강서구,1.08
2017,2.서울특별시,강서구,1.02
2018,2.서울특별시,강서구,-0.76
2019,2.서울특별시,강서구,-0.88
2020,2.서울특별시,강서구,-2.07
2021,2.서울특별시,강서구,-1.05
2001,2.서울특별시,관악구,0.73
