Year,시도,Value
2001,0.전국,25.52085647
2002,0.전국,26.62953616
2003,0.전국,30.24345788
2004,0.전국,31.07798165
2005,0.전국,32.36782191
2006,0.전국,33.84948385
2007,0.전국,35.27165209
2008,0.전국,36.83760336
2009,0.전국,38.206818
2010,0.전국,38.90046482
2011,0.전국,39.93461735
2012,0.전국,41.10003491
2013,0.전국,42.24758695
2014,0.전국,43.0317484
2015,0.전국,43.74838876
2016,0.전국,44.70420891
2017,0.전국,45.58887127
2018,0.전국,46.63201291
2019,0.전국,47.250408
2020,0.전국,47.76524347
2021,0.전국,48.50936065
2001,1.수도권,29.56760337
2002,1.수도권,30.4903855
2003,1.수도권,34.7349343
2004,1.수도권,35.22348817
2005,1.수도권,36.14841598
2006,1.수도권,37.60662106
2007,1.수도권,39.44900838
2008,1.수도권,40.98992051
2009,1.수도권,42.90631915
2010,1.수도권,43.46991037
2011,1.수도권,44.74695959
2012,1.수도권,45.97585513
2013,1.수도권,46.75493648
2014,1.수도권,47.05882353
2015,1.수도권,47.86569686
2016,1.수도권,48.81706341
2017,1.수도권,49.29779306
2018,1.수도권,50.64111697
2019,1.수도권,51.44386533
2020,1.수도권,52.30169972
2021,1.수도권,52.79537701
2001,2.서울특별시,33.3400362
2002,2.서울특별시,34.01671975
2003,2.서울특별시,39.48046798
2004,2.서울특별시,39.63946501
2005,2.서울특별시,40.28017655
2006,2.서울특별시,42.05518554
2007,2.서울특별시,43.40441593
2008,2.서울특별시,44.7009841
2009,2.서울특별시,47.33614412
2010,2.서울특별시,46.38281839
2011,2.서울특별시,47.67377201
2012,2.서울특별시,49.17147645
2013,2.서울특별시,51.82072829
2014,2.서울특별시,52.96384658
2015,2.서울특별시,53.10703024
2016,2.서울특별시,54.03946389
2017,2.서울특별시,55.07783543
2018,2.서울특별시,56.83223993
2019,2.서울특별시,58.01842452
2020,2.서울특별시,59.26695636
2021,2.서울특별시,59.88328313
2001,3.인천광역시,20.58577406
2002,3.인천광역시,22.2675367
2003,3.인천광역시,25.55102041
2004,3.인천광역시,26.73667205
2005,3.인천광역시,28.06736167
2006,3.인천광역시,30.33620016
2007,3.인천광역시,31.41122914
2008,3.인천광역시,33.13343328
2009,3.인천광역시,34.2143906
2010,3.인천광역시,34.52211127
2011,3.인천광역시,34.7826087
2012,3.인천광역시,36.09625668
2013,3.인천광역시,36.46591661
2014,3.인천광역시,35.88082902
2015,3.인천광역시,38.09827696
2016,3.인천광역시,38.54818523
2017,3.인천광역시,40.26135657
2018,3.인천광역시,41.51975684
2019,3.인천광역시,43.31518451
2020,3.인천광역시,42.10526316
2021,3.인천광역시,41.19091467
2001,4.경기도,27.74369461
2002,4.경기도,28.83741069
2003,4.경기도,32.07468009
2004,4.경기도,32.77478556
2005,4.경기도,33.92787902
2006,4.경기도,34.95383456
2007,4.경기도,37.54140596
2008,4.경기도,39.35541629
2009,4.경기도,40.90019569
2010,4.경기도,42.96577947
2011,4.경기도,44.51787833
2012,4.경기도,45.5821635
2013,4.경기도,44.88709677
2014,4.경기도,44.7595561
2015,4.경기도,45.91913423
2016,4.경기도,47.09620216
2017,4.경기도,46.90061844
2018,4.경기도,48.08727685
2019,4.경기도,48.46388043
2020,4.경기도,49.49256221
2021,4.경기도,50.26946915
