Year,시도,시군구,Value
2001,0.전국,,619
2002,0.전국,,644
2003,0.전국,,735
2004,0.전국,,819
2005,0.전국,,863
2006,0.전국,,904
2007,0.전국,,972
2008,0.전국,,1114
2009,0.전국,,1228
2010,0.전국,,1235
2011,0.전국,,1228
2012,0.전국,,1308
2013,0.전국,,1335
2014,0.전국,,1235
2015,0.전국,,1313
2016,0.전국,,1429
2017,0.전국,,1555
2018,0.전국,,1682
2019,0.전국,,1757
2020,0.전국,,1946
2021,0.전국,,1979
2022,0.전국,,2303
2001,1.수도권,,760
2002,1.수도권,,776
2003,1.수도권,,898
2004,1.수도권,,1009
2005,1.수도권,,1032
2006,1.수도권,,1061
2007,1.수도권,,1138
2008,1.수도권,,1313
2009,1.수도권,,1475
2010,1.수도권,,1407
2011,1.수도권,,1386
2012,1.수도권,,1465
2013,1.수도권,,1458
2014,1.수도권,,1370
2015,1.수도권,,1442
2016,1.수도권,,1564
2017,1.수도권,,1702
2018,1.수도권,,1860
2019,1.수도권,,1964
2020,1.수도권,,2104
2021,1.수도권,,2138
2022,1.수도권,,2532
2001,2.서울특별시,,886
2002,2.서울특별시,,878
2003,2.서울특별시,,965
2004,2.서울특별시,,1111
2005,2.서울특별시,,1185
2006,2.서울특별시,,1165
2007,2.서울특별시,,1238
2008,2.서울특별시,,1423
2009,2.서울특별시,,1663
2010,2.서울특별시,,1594
2011,2.서울특별시,,1558
2012,2.서울특별시,,1634
2013,2.서울특별시,,1577
2014,2.서울특별시,,1545
2015,2.서울특별시,,1664
2016,2.서울특별시,,1783
2017,2.서울특별시,,1943
2018,2.서울특별시,,2104
2019,2.서울특별시,,2232
2020,2.서울특별시,,2480
2021,2.서울특별시,,2571
2022,2.서울특별시,,2976
2001,2.서울특별시,* 서울 본청,756
2002,2.서울특별시,* 서울 본청,729
2003,2.서울특별시,* 서울 본청,811
2004,2.서울특별시,* 서울 본청,919
2005,2.서울특별시,* 서울 본청,954
2006,2.서울특별시,* 서울 본청,943
2007,2.서울특별시,* 서울 본청,1000
2008,2.서울특별시,* 서울 본청,1132
2009,2.서울특별시,* 서울 본청,1339
2010,2.서울특별시,* 서울 본청,1278
2011,2.서울특별시,* 서울 본청,1257
2012,2.서울특별시,* 서울 본청,1329
2013,2.서울특별시,* 서울 본청,1356
2014,2.서울특별시,* 서울 본청,1364
2015,2.서울특별시,* 서울 본청,1475
2016,2.서울특별시,* 서울 본청,1566
2017,2.서울특별시,* 서울 본청,1715
2018,2.서울특별시,* 서울 본청,1865
2019,2.서울특별시,* 서울 본청,1973
2020,2.서울특별시,* 서울 본청,2188
2021,2.서울특별시,* 서울 본청,2255
2022,2.서울특별시,* 서울 본청,2618
2001,2.서울특별시,강남구,387
2002,2.서울특별시,강남구,415
2003,2.서울특별시,강남구,435
2004,2.서울특별시,강남구,537
2005,2.서울특별시,강남구,669
2006,2.서울특별시,강남구,567
2007,2.서울특별시,강남구,583
2008,2.서울특별시,강남구,628
2009,2.서울특별시,강남구,765
2010,2.서울특별시,강남구,713
2011,2.서울특별시,강남구,722
2012,2.서울특별시,강남구,718
2013,2.서울특별시,강남구,677
2014,2.서울특별시,강남구,613
2015,2.서울특별시,강남구,613
2016,2.서울특별시,강남구,656
