Year,시도,Value
2001,0.전국,2.749454384
2002,0.전국,2.725594323
2003,0.전국,2.819123932
2004,0.전국,2.869180517
2005,0.전국,2.810426063
2006,0.전국,2.900516435
2007,0.전국,3.095580934
2008,0.전국,3.185971089
2009,0.전국,3.383128586
2010,0.전국,3.565611001
2011,0.전국,3.745395201
2012,0.전국,3.952565211
2013,0.전국,4.085666022
2014,0.전국,4.180251585
2015,0.전국,4.14159481
2016,0.전국,4.181446404
2017,0.전국,4.338043291
2018,0.전국,4.503690772
2019,0.전국,4.524765041
2020,0.전국,4.700374101
2001,1.수도권,2.320709296
2002,1.수도권,2.312604027
2003,1.수도권,2.220705117
2004,1.수도권,2.253397726
2005,1.수도권,2.214587515
2006,1.수도권,2.284046354
2007,1.수도권,2.489481604
2008,1.수도권,2.359236633
2009,1.수도권,2.575069139
2010,1.수도권,2.662202809
2011,1.수도권,2.708838419
2012,1.수도권,2.890888327
2013,1.수도권,3.012328608
2014,1.수도권,3.063736481
2015,1.수도권,3.119183357
2016,1.수도권,3.156579553
2017,1.수도권,3.3011788
2018,1.수도권,3.37551041
2019,1.수도권,3.347992268
2020,1.수도권,3.515839348
2001,2.서울특별시,1.506412185
2002,2.서울특별시,1.537776516
2003,2.서울특별시,1.381482114
2004,2.서울특별시,1.342367353
2005,2.서울특별시,1.371423121
2006,2.서울특별시,1.415285517
2007,2.서울특별시,1.689834214
2008,2.서울특별시,1.611215611
2009,2.서울특별시,1.726164421
2010,2.서울특별시,1.83201315
2011,2.서울특별시,1.832942626
2012,2.서울특별시,1.992288696
2013,2.서울특별시,1.975713712
2014,2.서울특별시,1.972801618
2015,2.서울특별시,1.930510624
2016,2.서울특별시,1.944877356
2017,2.서울특별시,1.933210256
2018,2.서울특별시,1.963745386
2019,2.서울특별시,1.970241591
2020,2.서울특별시,2.074437347
2001,3.인천광역시,2.748753728
2002,3.인천광역시,2.50172258
2003,3.인천광역시,2.658319626
2004,3.인천광역시,2.757551765
2005,3.인천광역시,2.759477707
2006,3.인천광역시,2.956082379
2007,3.인천광역시,3.102884266
2008,3.인천광역시,2.959241524
2009,3.인천광역시,2.922094291
2010,3.인천광역시,3.100957307
2011,3.인천광역시,3.183676457
2012,3.인천광역시,3.370357329
2013,3.인천광역시,3.427196441
2014,3.인천광역시,3.563936681
2015,3.인천광역시,3.659764505
2016,3.인천광역시,3.74392551
2017,3.인천광역시,3.861349413
2018,3.인천광역시,4.046610543
2019,3.인천광역시,3.92254784
2020,3.인천광역시,4.200343151
2001,4.경기도,3.364270996
2002,4.경기도,3.348968274
2003,4.경기도,3.237704463
2004,4.경기도,3.290700891
2005,4.경기도,3.136718591
2006,4.경기도,3.166375589
2007,4.경기도,3.309019794
2008,4.경기도,3.107076812
2009,4.경기도,3.499998825
2010,4.경기도,3.487188933
2011,4.경기도,3.566906089
2012,4.경기도,3.744023179
2013,4.경기도,3.984733234
2014,4.경기도,4.039510755
2015,4.경기도,4.157691615
2016,4.경기도,4.189415096
2017,4.경기도,4.439216017
2018,4.경기도,4.509343626
2019,4.경기도,4.474239407
2020,4.경기도,4.67472835
