Year,구분,A. 시도,B. 시군구,Value
2003,주택-전세,0.전국,,59.575
2004,주택-전세,0.전국,,56.099
2005,주택-전세,0.전국,,57.848
2006,주택-전세,0.전국,,61.723
2007,주택-전세,0.전국,,64.102
2008,주택-전세,0.전국,,66.147
2009,주택-전세,0.전국,,68.255
2010,주택-전세,0.전국,,72.822
2011,주택-전세,0.전국,,81.345
2012,주택-전세,0.전국,,82.522
2013,주택-전세,0.전국,,86.404
2014,주택-전세,0.전국,,89.34
2015,주택-전세,0.전국,,93.671
2016,주택-전세,0.전국,,94.908
2017,주택-전세,0.전국,,95.504
2018,주택-전세,0.전국,,93.788
2019,주택-전세,0.전국,,92.603
2020,주택-전세,0.전국,,96.868
2021,주택-전세,0.전국,,103.178
2003,주택-전세,1.수도권,,53.381
2004,주택-전세,1.수도권,,49.16
2005,주택-전세,1.수도권,,51.167
2006,주택-전세,1.수도권,,56.536
2007,주택-전세,1.수도권,,59.735
2008,주택-전세,1.수도권,,61.905
2009,주택-전세,1.수도권,,64.357
2010,주택-전세,1.수도권,,68.314
2011,주택-전세,1.수도권,,75.61
2012,주택-전세,1.수도권,,75.913
2013,주택-전세,1.수도권,,80.61
2014,주택-전세,1.수도권,,84.438
2015,주택-전세,1.수도권,,90.463
2016,주택-전세,1.수도권,,92.31
2017,주택-전세,1.수도권,,93.605
2018,주택-전세,1.수도권,,92.217
2019,주택-전세,1.수도권,,91.519
2020,주택-전세,1.수도권,,96.636
2021,주택-전세,1.수도권,,104.037
2003,주택-전세,2.서울특별시,,54.716
2004,주택-전세,2.서울특별시,,50.45
2005,주택-전세,2.서울특별시,,51.488
2006,주택-전세,2.서울특별시,,56.792
2007,주택-전세,2.서울특별시,,60.036
2008,주택-전세,2.서울특별시,,61.78
2009,주택-전세,2.서울특별시,,65.332
2010,주택-전세,2.서울특별시,,69.358
2011,주택-전세,2.서울특별시,,76.531
2012,주택-전세,2.서울특별시,,76.878
2013,주택-전세,2.서울특별시,,81.932
2014,주택-전세,2.서울특별시,,84.841
2015,주택-전세,2.서울특별시,,90.99
2016,주택-전세,2.서울특별시,,92.765
2017,주택-전세,2.서울특별시,,94.65
2018,주택-전세,2.서울특별시,,94.888
2019,주택-전세,2.서울특별시,,94.464
2020,주택-전세,2.서울특별시,,97.918
2021,주택-전세,2.서울특별시,,102.73
2003,주택-전세,2.서울특별시,강남구,56.209
2004,주택-전세,2.서울특별시,강남구,51.264
2005,주택-전세,2.서울특별시,강남구,55.538
2006,주택-전세,2.서울특별시,강남구,61.824
2007,주택-전세,2.서울특별시,강남구,62.588
2008,주택-전세,2.서울특별시,강남구,60.721
2009,주택-전세,2.서울특별시,강남구,64.23
2010,주택-전세,2.서울특별시,강남구,70.454
2011,주택-전세,2.서울특별시,강남구,77.536
2012,주택-전세,2.서울특별시,강남구,74.754
2013,주택-전세,2.서울특별시,강남구,80.708
2014,주택-전세,2.서울특별시,강남구,82.85
2015,주택-전세,2.서울특별시,강남구,91.162
2016,주택-전세,2.서울특별시,강남구,91.97
2017,주택-전세,2.서울특별시,강남구,94.531
2018,주택-전세,2.서울특별시,강남구,92.964
2019,주택-전세,2.서울특별시,강남구,91.352
2020,주택-전세,2.서울특별시,강남구,97.796
2021,주택-전세,2.서울특별시,강남구,103.362
2003,주택-전세,2.서울특별시,강동구,58.992
2004,주택-전세,2.서울특별시,강동구,54.766
2005,주택-전세,2.서울특별시,강동구,56.375
2006,주택-전세,2.서울특별시,강동구,61.014
2007,주택-전세,2.서울특별시,강동구,61.47
2008,주택-전세,2.서울특별시,강동구,57.29
2009,주택-전세,2.서울특별시,강동구,62.647
2010,주택-전세,2.서울특별시,강동구,68.081
2011,주택-전세,2.서울특별시,강동구,76.133
2012,주택-전세,2.서울특별시,강동구,79.637
2013,주택-전세,2.서울특별시,강동구,81.774
2014,주택-전세,2.서울특별시,강동구,84.577
2015,주택-전세,2.서울특별시,강동구,94.842
2016,주택-전세,2.서울특별시,강동구,94.333
2017,주택-전세,2.서울특별시,강동구,98.079
2018,주택-전세,2.서울특별시,강동구,97.038
2019,주택-전세,2.서울특별시,강동구,92.708
2020,주택-전세,2.서울특별시,강동구,97.644
2021,주택-전세,2.서울특별시,강동구,103.597
2003,주택-전세,2.서울특별시,강북구,59.312
2004,주택-전세,2.서울특별시,강북구,53.567
2005,주택-전세,2.서울특별시,강북구,53.2
2006,주택-전세,2.서울특별시,강북구,54.373
2007,주택-전세,2.서울특별시,강북구,61.083
2008,주택-전세,2.서울특별시,강북구,67.832
2009,주택-전세,2.서울특별시,강북구,71.122
2010,주택-전세,2.서울특별시,강북구,74.227
2011,주택-전세,2.서울특별시,강북구,80.132
2012,주택-전세,2.서울특별시,강북구,81.052
2013,주택-전세,2.서울특별시,강북구,86.751
2014,주택-전세,2.서울특별시,강북구,89.305
2015,주택-전세,2.서울특별시,강북구,93.897
2016,주택-전세,2.서울특별시,강북구,95.001
2017,주택-전세,2.서울특별시,강북구,95.276
2018,주택-전세,2.서울특별시,강북구,95.851
2019,주택-전세,2.서울특별시,강북구,94.916
2020,주택-전세,2.서울특별시,강북구,97.822
2021,주택-전세,2.서울특별시,강북구,102.042
2003,주택-전세,2.서울특별시,강서구,52.88
2004,주택-전세,2.서울특별시,강서구,46.713
2005,주택-전세,2.서울특별시,강서구,45.845
2006,주택-전세,2.서울특별시,강서구,52.076
2007,주택-전세,2.서울특별시,강서구,54.624
2008,주택-전세,2.서울특별시,강서구,57.961
2009,주택-전세,2.서울특별시,강서구,64.549
2010,주택-전세,2.서울특별시,강서구,69.535
2011,주택-전세,2.서울특별시,강서구,76.383
2012,주택-전세,2.서울특별시,강서구,76.165
2013,주택-전세,2.서울특별시,강서구,81.32
2014,주택-전세,2.서울특별시,강서구,84.395
2015,주택-전세,2.서울특별시,강서구,90.595
2016,주택-전세,2.서울특별시,강서구,92.942
2017,주택-전세,2.서울특별시,강서구,94.789
2018,주택-전세,2.서울특별시,강서구,95.602
2019,주택-전세,2.서울특별시,강서구,95.865
2020,주택-전세,2.서울특별시,강서구,98.576
2021,주택-전세,2.서울특별시,강서구,101.855
2003,주택-전세,2.서울특별시,관악구,54.408
2004,주택-전세,2.서울특별시,관악구,51.568
2005,주택-전세,2.서울특별시,관악구,51.601
2006,주택-전세,2.서울특별시,관악구,56.928
2007,주택-전세,2.서울특별시,관악구,62.166
2008,주택-전세,2.서울특별시,관악구,63.158
2009,주택-전세,2.서울특별시,관악구,68.224
2010,주택-전세,2.서울특별시,관악구,70.416
2011,주택-전세,2.서울특별시,관악구,78.12
2012,주택-전세,2.서울특별시,관악구,79.434
2013,주택-전세,2.서울특별시,관악구,83.39
2014,주택-전세,2.서울특별시,관악구,84.951
2015,주택-전세,2.서울특별시,관악구,89.258
2016,주택-전세,2.서울특별시,관악구,92.18
2017,주택-전세,2.서울특별시,관악구,95.248
2018,주택-전세,2.서울특별시,관악구,95.848
2019,주택-전세,2.서울특별시,관악구,96.009
2020,주택-전세,2.서울특별시,관악구,98.368
2021,주택-전세,2.서울특별시,관악구,101.458
2003,주택-전세,2.서울특별시,광진구,46.59
2004,주택-전세,2.서울특별시,광진구,43.374
2005,주택-전세,2.서울특별시,광진구,44.465
2006,주택-전세,2.서울특별시,광진구,49.904
2007,주택-전세,2.서울특별시,광진구,54.202
2008,주택-전세,2.서울특별시,광진구,56.821
2009,주택-전세,2.서울특별시,광진구,62.392
2010,주택-전세,2.서울특별시,광진구,68.076
2011,주택-전세,2.서울특별시,광진구,77.595
2012,주택-전세,2.서울특별시,광진구,78.138
2013,주택-전세,2.서울특별시,광진구,84.041
2014,주택-전세,2.서울특별시,광진구,87.43
2015,주택-전세,2.서울특별시,광진구,93.15
2016,주택-전세,2.서울특별시,광진구,94.159
2017,주택-전세,2.서울특별시,광진구,95.265
2018,주택-전세,2.서울특별시,광진구,95.566
2019,주택-전세,2.서울특별시,광진구,95.893
2020,주택-전세,2.서울특별시,광진구,98.337
