Year,지역,Value
2001,0.전국,25.52085647
2002,0.전국,26.62953616
2003,0.전국,30.24345788
2004,0.전국,31.07798165
2005,0.전국,32.36782191
2006,0.전국,33.84948385
2007,0.전국,35.27165209
2008,0.전국,36.83760336
2009,0.전국,38.206818
2010,0.전국,38.90046482
2011,0.전국,39.93461735
2012,0.전국,41.10003491
2013,0.전국,42.24758695
2014,0.전국,43.0317484
2015,0.전국,43.74838876
2016,0.전국,44.70420891
2017,0.전국,45.58887127
2018,0.전국,46.63201291
2019,0.전국,47.250408
2020,0.전국,47.76524347
2021,0.전국,48.50936065
2001,1.수도권,29.56760337
2002,1.수도권,30.4903855
2003,1.수도권,34.7349343
2004,1.수도권,35.22348817
2005,1.수도권,36.14841598
2006,1.수도권,37.60662106
2007,1.수도권,39.44900838
2008,1.수도권,40.98992051
2009,1.수도권,42.90631915
2010,1.수도권,43.46991037
2011,1.수도권,44.74695959
2012,1.수도권,45.97585513
2013,1.수도권,46.75493648
2014,1.수도권,47.05882353
2015,1.수도권,47.86569686
2016,1.수도권,48.81706341
2017,1.수도권,49.29779306
2018,1.수도권,50.64111697
2019,1.수도권,51.44386533
2020,1.수도권,52.30169972
2021,1.수도권,52.79537701
2001,2.충청권,21.34931203
2002,2.충청권,22.66608771
2003,2.충청권,25.91783217
2004,2.충청권,27.19110731
2005,2.충청권,28.95522388
2006,2.충청권,29.93762994
2007,2.충청권,30.38897893
2008,2.충청권,32.35412475
2009,2.충청권,34.4150641
2010,2.충청권,34.89378442
2011,2.충청권,35.19016519
2012,2.충청권,35.80060423
2013,2.충청권,37.72893773
2014,2.충청권,38.4290243
2015,2.충청권,39.4346777
2016,2.충청권,40.94783498
2017,2.충청권,42.49244206
2018,2.충청권,42.77305428
2019,2.충청권,43.18254732
2020,2.충청권,43.0210325
2021,2.충청권,44.76281439
2001,3.호남권,21.11776447
2002,3.호남권,21.58818835
2003,3.호남권,25.77652279
2004,3.호남권,26.43118149
2005,3.호남권,26.96537678
2006,3.호남권,28.12882185
2007,3.호남권,29.95967742
2008,3.호남권,31.77795656
2009,3.호남권,32.31878254
2010,3.호남권,33.33333333
2011,3.호남권,34.71563981
2012,3.호남권,35.88741204
2013,3.호남권,37.11102574
2014,3.호남권,38.01434504
2015,3.호남권,38.20895522
2016,3.호남권,39.00997414
2017,3.호남권,40.80800593
2018,3.호남권,41.44809752
2019,3.호남권,42.01465201
2020,3.호남권,41.8374817
2021,3.호남권,41.83006536
2001,4.대경권,22.4011713
2002,4.대경권,23.07321773
2003,4.대경권,26.38483965
2004,4.대경권,27.17181467
2005,4.대경권,28.69649805
2006,4.대경권,30.37001442
2007,4.대경권,31.76808816
2008,4.대경권,33.69823893
2009,4.대경권,33.39667458
2010,4.대경권,33.2707649
2011,4.대경권,34.18723801
2012,4.대경권,35.7306459
2013,4.대경권,37.82312925
2014,4.대경권,38.40739111
2015,4.대경권,38.98901099
2016,4.대경권,39.43231441
2017,4.대경권,40.98288723
2018,4.대경권,41.00877193
2019,4.대경권,41.49956408
2020,4.대경권,42.98169137
2021,4.대경권,44.75308642
2001,5.동남권,22.49657064
2002,5.동남권,24.25222312
2003,5.동남권,27.31720576
2004,5.동남권,28.7858483
2005,5.동남권,30.66595059
2006,5.동남권,32.05984504
2007,5.동남권,32.46239113
2008,5.동남권,33.62159329
2009,5.동남권,35.23684211
2010,5.동남권,35.7480315
2011,5.동남권,35.54123711
2012,5.동남권,36.75126904
2013,5.동남권,38.52726816
2014,5.동남권,40.58006941
2015,5.동남권,41.15629593
2016,5.동남권,42.24975705
2017,5.동남권,43.19826339
2018,5.동남권,44.24007744
2019,5.동남권,43.88541165
2020,5.동남권,43.13247133
2021,5.동남권,44.22466422
2001,6.강원권,18.82352941
2002,6.강원권,19.28571429
2003,6.강원권,22.95321637
2004,6.강원권,24.17266187
2005,6.강원권,25.10885341
2006,6.강원권,26.58045977
2007,6.강원권,29.20863309
2008,6.강원권,30.81312411
2009,6.강원권,28.73239437
2010,6.강원권,29.38659058
2011,6.강원권,30.55162659
2012,6.강원권,31.86206897
2013,6.강원권,33.60995851
2014,6.강원권,35.66621803
2015,6.강원권,34.64052288
2016,6.강원권,36.83527886
2017,6.강원권,36.25154131
2018,6.강원권,39.16256158
2019,6.강원권,38.5255648
2020,6.강원권,39.78234583
2021,6.강원권,38.45238095
2001,7.제주권,25.0
2002,7.제주권,24.7311828
2003,7.제주권,26.48083624
2004,7.제주권,28.125
2005,7.제주권,31.16438356
2006,7.제주권,33.89830508
2007,7.제주권,35.83617747
2008,7.제주권,37.41496599
2009,7.제주권,36.1774744
2010,7.제주권,36.67820069
2011,7.제주권,40.13377926
2012,7.제주권,40.06514658
2013,7.제주권,40.0
2014,7.제주권,40.42553191
2015,7.제주권,41.32947977
2016,7.제주권,44.07713499
2017,7.제주권,45.54973822
2018,7.제주권,48.02110818
2019,7.제주권,47.69230769
2020,7.제주권,47.16494845
2021,7.제주권,49.36708861
