Year,시도,시군구,Value
2017,0.전국,,38.0
2018,0.전국,,38.2
2019,0.전국,,34.66357786
2017,1.수도권,,25.8
2018,1.수도권,,26.3
2019,1.수도권,,25.9836471
2017,2.서울특별시,,17.4
2018,2.서울특별시,,18.8
2019,2.서울특별시,,17.91944467
2017,2.서울특별시,강남구,16.91147067
2018,2.서울특별시,강남구,18.72265518
2019,2.서울특별시,강남구,17.91893005
2017,2.서울특별시,강동구,20.54640781
2018,2.서울특별시,강동구,21.68118
2019,2.서울특별시,강동구,20.53880335
2017,2.서울특별시,강북구,20.99931549
2018,2.서울특별시,강북구,22.703188
2019,2.서울특별시,강북구,20.98072811
2017,2.서울특별시,강서구,16.14236156
2018,2.서울특별시,강서구,17.63039218
2019,2.서울특별시,강서구,16.90947558
2017,2.서울특별시,관악구,17.42388436
2018,2.서울특별시,관악구,19.17627336
2019,2.서울특별시,관악구,18.08730849
2017,2.서울특별시,광진구,17.00552156
2018,2.서울특별시,광진구,18.42887145
2019,2.서울특별시,광진구,17.68638423
2017,2.서울특별시,구로구,16.73186149
2018,2.서울특별시,구로구,17.87953836
2019,2.서울특별시,구로구,16.7517498
2017,2.서울특별시,금천구,17.71971404
2018,2.서울특별시,금천구,18.79612664
2019,2.서울특별시,금천구,17.83048719
2017,2.서울특별시,노원구,19.63313431
2018,2.서울특별시,노원구,20.93707555
2019,2.서울특별시,노원구,19.57048181
2017,2.서울특별시,도봉구,20.95120482
2018,2.서울특별시,도봉구,22.28232455
2019,2.서울특별시,도봉구,20.94273634
2017,2.서울특별시,동대문구,17.35283721
2018,2.서울특별시,동대문구,18.69845227
2019,2.서울특별시,동대문구,17.30294483
2017,2.서울특별시,동작구,15.67176372
2018,2.서울특별시,동작구,17.27693755
2019,2.서울특별시,동작구,16.72070851
2017,2.서울특별시,마포구,16.32862477
2018,2.서울특별시,마포구,17.78079455
2019,2.서울특별시,마포구,16.88435202
2017,2.서울특별시,서대문구,17.54718797
2018,2.서울특별시,서대문구,18.61812755
2019,2.서울특별시,서대문구,17.33199344
2017,2.서울특별시,서초구,16.66719138
2018,2.서울특별시,서초구,18.27187591
2019,2.서울특별시,서초구,17.93941765
2017,2.서울특별시,성동구,16.04283705
2018,2.서울특별시,성동구,17.29463464
2019,2.서울특별시,성동구,16.51692194
2017,2.서울특별시,성북구,19.08314729
2018,2.서울특별시,성북구,20.89341573
2019,2.서울특별시,성북구,19.50350033
2017,2.서울특별시,송파구,18.60985303
2018,2.서울특별시,송파구,20.19267936
2019,2.서울특별시,송파구,19.08314393
2017,2.서울특별시,양천구,16.53078798
2018,2.서울특별시,양천구,18.00035136
2019,2.서울특별시,양천구,16.54463066
2017,2.서울특별시,영등포구,14.39700693
2018,2.서울특별시,영등포구,15.59608973
2019,2.서울특별시,영등포구,15.30372
2017,2.서울특별시,용산구,16.17591213
2018,2.서울특별시,용산구,17.36360582
2019,2.서울특별시,용산구,16.25137927
2017,2.서울특별시,은평구,18.0837209
2018,2.서울특별시,은평구,18.63414027
2019,2.서울특별시,은평구,17.99196451
2017,2.서울특별시,종로구,17.86653864
2018,2.서울특별시,종로구,19.51849845
2019,2.서울특별시,종로구,18.37421157
2017,2.서울특별시,중구,14.93810393
2018,2.서울특별시,중구,16.31201745
2019,2.서울특별시,중구,15.75600462
2017,2.서울특별시,중랑구,16.3216364
2018,2.서울특별시,중랑구,17.57929609
2019,2.서울특별시,중랑구,16.65860117
2017,3.인천광역시,,32.4
2018,3.인천광역시,,31.5
2019,3.인천광역시,,25.17112784
2017,3.인천광역시,강화군,63.59832407
2018,3.인천광역시,강화군,52.36967427
2019,3.인천광역시,강화군,46.3405498
2017,3.인천광역시,계양구,18.62252103
2018,3.인천광역시,계양구,18.54100418
2019,3.인천광역시,계양구,18.31876125
2017,3.인천광역시,남동구,20.4
2018,3.인천광역시,남동구,21.21667873
2019,3.인천광역시,남동구,20.40683828
2017,3.인천광역시,동구,21.4
2018,3.인천광역시,동구,21.04049264
2019,3.인천광역시,동구,20.08737465
2017,3.인천광역시,미추홀구,19.6
2018,3.인천광역시,미추홀구,19.95462482
2019,3.인천광역시,미추홀구,19.53528396
2017,3.인천광역시,부평구,17.65147824
2018,3.인천광역시,부평구,18.04006755
2019,3.인천광역시,부평구,18.03162601
2017,3.인천광역시,서구,22.42582471
2018,3.인천광역시,서구,22.70526018
2019,3.인천광역시,서구,22.56945368
2017,3.인천광역시,연수구,22.0327751
2018,3.인천광역시,연수구,22.49338491
2019,3.인천광역시,연수구,19.91030619
2017,3.인천광역시,옹진군,90.13374068
2018,3.인천광역시,옹진군,89.41444364
2019,3.인천광역시,옹진군,65.94245396
2017,3.인천광역시,중구,27.96741414
2018,3.인천광역시,중구,28.844846
2019,3.인천광역시,중구,28.62884658
2017,4.경기도,,30.4
2018,4.경기도,,30.6
2019,4.경기도,,31.17316522
2017,4.경기도,가평군,55.78935803
2018,4.경기도,가평군,55.88976345
2019,4.경기도,가평군,57.07070213
2017,4.경기도,고양시,19.27855713
2018,4.경기도,고양시,20.029146
2019,4.경기도,고양시,19.84444361
2017,4.경기도,과천시,21.75982641
2018,4.경기도,과천시,22.476109
2019,4.경기도,과천시,23.30479344
2017,4.경기도,광명시,18.06853129
2018,4.경기도,광명시,19.32948909
2019,4.경기도,광명시,17.47635609
2017,4.경기도,광주시,35.05217935
2018,4.경기도,광주시,34.81671182
2019,4.경기도,광주시,35.01960943
2017,4.경기도,구리시,20.176115
2018,4.경기도,구리시,21.10869582
2019,4.경기도,구리시,20.07976881
2017,4.경기도,군포시,19.73479773
2018,4.경기도,군포시,20.25863227
2019,4.경기도,군포시,19.45443617
2017,4.경기도,김포시,24.37245788
2018,4.경기도,김포시,24.17783882
2019,4.경기도,김포시,25.50823786
2017,4.경기도,남양주시,29.05363329
2018,4.경기도,남양주시,29.74110591
2019,4.경기도,남양주시,27.57994294
2017,4.경기도,동두천시,31.35178973
2018,4.경기도,동두천시,31.51908345
2019,4.경기도,동두천시,31.89072985
2017,4.경기도,부천시,17.82752655
2018,4.경기도,부천시,18.43287482
2019,4.경기도,부천시,17.0659158
2017,4.경기도,성남시,21.0800892
2018,4.경기도,성남시,21.31256509
2019,4.경기도,성남시,20.66805648
2017,4.경기도,수원시,21.23362469
2018,4.경기도,수원시,22.14968355
2019,4.경기도,수원시,20.78366584
2017,4.경기도,시흥시,25.06538088
2018,4.경기도,시흥시,26.61886727
2019,4.경기도,시흥시,23.75106232
2017,4.경기도,안산시,25.41137731
2018,4.경기도,안산시,26.04211909
2019,4.경기도,안산시,23.32737187
2017,4.경기도,안성시,38.48169691
2018,4.경기도,안성시,36.758468
2019,4.경기도,안성시,42.17485745
2017,4.경기도,안양시,19.49205385
2018,4.경기도,안양시,20.71393791
2019,4.경기도,안양시,18.61227941
2017,4.경기도,양주시,37.10736518
2018,4.경기도,양주시,36.50874518
2019,4.경기도,양주시,37.99344413
2017,4.경기도,양평군,53.72978834
2018,4.경기도,양평군,52.18194464
2019,4.경기도,양평군,63.72535455
2017,4.경기도,여주시,54.8767715
2018,4.경기도,여주시,52.81028473
2019,4.경기도,여주시,65.05670853
2017,4.경기도,연천군,56.31578876
2018,4.경기도,연천군,53.77829336
2019,4.경기도,연천군,61.85887566
2017,4.경기도,오산시,21.73064052
2018,4.경기도,오산시,23.47354664
2019,4.경기도,오산시,22.41414807
2017,4.경기도,용인시,29.41374131
2018,4.경기도,용인시,30.09126282
2019,4.경기도,용인시,34.35890016
2017,4.경기도,의왕시,23.21510169
2018,4.경기도,의왕시,23.78717809
2019,4.경기도,의왕시,23.45835921
2017,4.경기도,의정부시,21.23827047
2018,4.경기도,의정부시,23.53200418
2019,4.경기도,의정부시,22.05177792
2017,4.경기도,이천시,42.87461622
2018,4.경기도,이천시,42.13639
2019,4.경기도,이천시,47.29829921
2017,4.경기도,파주시,30.0176904
2018,4.경기도,파주시,29.62147118
2019,4.경기도,파주시,32.00986024
2017,4.경기도,평택시,27.98546457
2018,4.경기도,평택시,28.09714427
2019,4.경기도,평택시,31.07203337
2017,4.경기도,포천시,44.20225684
2018,4.경기도,포천시,43.38875155
2019,4.경기도,포천시,44.61329585
2017,4.경기도,하남시,26.6686959
2018,4.경기도,하남시,27.99355318
2019,4.경기도,하남시,26.98798735
2017,4.경기도,화성시,31.10766632
2018,4.경기도,화성시,31.28136991
2019,4.경기도,화성시,33.25736089
