Year,시도,Value
2011,0.전국,5.9
2012,0.전국,5.63
2013,0.전국,5.41
2014,0.전국,5.33
2015,0.전국,5.32
2016,0.전국,5.67
2017,0.전국,6.01
2018,0.전국,5.96
2019,0.전국,5.29
2020,0.전국,5.7
2011,1.수도권,7.024287948
2012,1.수도권,6.690435722
2013,1.수도권,6.219373954
2014,1.수도권,6.110663314
2015,1.수도권,5.939241339
2016,1.수도권,6.42144631
2017,1.수도권,6.916928233
2018,1.수도권,6.896752096
2019,1.수도권,6.297723594
2020,1.수도권,6.427654905
2011,2.서울특별시,7.92
2012,2.서울특별시,7.75
2013,2.서울특별시,7.1
2014,2.서울특별시,7.11
2015,2.서울특별시,6.7
2016,2.서울특별시,7.3
2017,2.서울특별시,7.93
2018,2.서울특별시,7.87
2019,2.서울특별시,7.57
2020,2.서울특별시,7.39
2011,3.인천광역시,6.43
2012,3.인천광역시,5.95
2013,3.인천광역시,5.58
2014,3.인천광역시,5.4
2015,3.인천광역시,5.44
2016,3.인천광역시,5.89
2017,3.인천광역시,6.25
2018,3.인천광역시,6.23
2019,3.인천광역시,5.4
2020,3.인천광역시,5.63
2011,4.경기도,6.59
2012,4.경기도,6.24
2013,4.경기도,5.88
2014,4.경기도,5.69
2015,4.경기도,5.6
2016,4.경기도,5.96
2017,4.경기도,6.46
2018,4.경기도,6.49
2019,4.경기도,5.85
2020,4.경기도,6.2
