Year,지역,Value
2017,0.전국,5.260824331
2018,0.전국,6.553200542
2019,0.전국,-4.598839611
2020,0.전국,13.43115998
2021,0.전국,-4.703474608
2017,1.수도권,5.918646041
2018,1.수도권,10.36668812
2019,1.수도권,-6.22987395
2020,1.수도권,16.12223418
2021,1.수도권,-3.04448757
2017,2.충청권,4.468727579
2018,2.충청권,2.414310444
2019,2.충청권,0.27697643
2020,2.충청권,12.37915966
2021,2.충청권,-5.270234885
2017,3.호남권,12.35152045
2018,3.호남권,6.502504817
2019,3.호남권,-6.359433405
2020,3.호남권,7.91041058
2021,3.호남권,-11.21269362
2017,4.대경권,2.213602372
2018,4.대경권,1.233135332
2019,4.대경권,-1.059126825
2020,4.대경권,6.185224961
2021,4.대경권,-4.434292592
2017,5.동남권,1.294487191
2018,5.동남권,-2.001164014
2019,5.동남권,-2.23153112
2020,5.동남권,11.05527907
2021,5.동남권,-6.614499923
2017,6.강원권,0.0
2018,6.강원권,2.624266749
2019,6.강원권,1.943030136
2020,6.강원권,-2.444456975
2021,6.강원권,14.18340189
2017,7.제주권,0.0
2018,7.제주권,1.041378675
2019,7.제주권,1.760898103
2020,7.제주권,-10.79847527
2021,7.제주권,7.561778478
