Year,시도,Value
2009,0.전국,1.170976575
2010,0.전국,1.357013395
2011,0.전국,3.812973576
2012,0.전국,4.180414618
2013,0.전국,4.515648304
2014,0.전국,5.630796951
2015,0.전국,7.669410989
2016,0.전국,8.179938769
2017,0.전국,9.182403319
2018,0.전국,10.19962976
2019,0.전국,10.04603537
2020,0.전국,8.455572012
2009,1.수도권,0.688243799
2010,1.수도권,0.781294195
2011,1.수도권,0.966931902
2012,1.수도권,1.393963959
2013,1.수도권,1.595959406
2014,1.수도권,1.81790805
2015,1.수도권,1.818130741
2016,1.수도권,1.958855421
2017,1.수도권,1.874353157
2018,1.수도권,2.26839243
2019,1.수도권,2.6020377
2020,1.수도권,3.225949444
2009,2.서울특별시,0.048034369
2010,2.서울특별시,0.083173534
2011,2.서울특별시,0.388785454
2012,2.서울특별시,0.373092726
2013,2.서울특별시,0.507332115
2014,2.서울특별시,0.569519047
2015,2.서울특별시,0.960726629
2016,2.서울특별시,0.935148972
2017,2.서울특별시,1.285638621
2018,2.서울특별시,1.356697659
2019,2.서울특별시,1.316688115
2020,2.서울특별시,1.410900331
2009,3.인천광역시,1.90751631
2010,3.인천광역시,1.752865184
2011,3.인천광역시,2.218569258
2012,3.인천광역시,2.267915499
2013,3.인천광역시,2.364241883
2014,3.인천광역시,4.132088769
2015,3.인천광역시,3.733916657
2016,3.인천광역시,4.049534222
2017,3.인천광역시,2.610213461
2018,3.인천광역시,2.990354758
2019,3.인천광역시,4.505283915
2020,3.인천광역시,6.224273363
2009,4.경기도,0.74048496
2010,4.경기도,0.90818817
2011,4.경기도,0.959486568
2012,4.경기도,1.67736888
2013,4.경기도,1.921328715
2014,4.경기도,1.856578455
2015,4.경기도,1.765216801
2016,4.경기도,1.937637489
2017,4.경기도,1.954603263
2018,4.경기도,2.477002624
2019,4.경기도,2.71920522
2020,4.경기도,3.324043185
