Year,시도,시군구,Value
2008,0.전국,,49.6
2009,0.전국,,47.9
2010,0.전국,,47.7
2011,0.전국,,46.6
2012,0.전국,,45.6
2013,0.전국,,46.2
2014,0.전국,,43.9
2015,0.전국,,45.5
2016,0.전국,,44.6
2017,0.전국,,44.9
2018,0.전국,,42.4
2019,0.전국,,41.3
2020,0.전국,,55.6
2021,0.전국,,47.6
2008,1.수도권,,49.7
2009,1.수도권,,47.1
2010,1.수도권,,47.6
2011,1.수도권,,45.7
2012,1.수도권,,45.5
2013,1.수도권,,45.1
2014,1.수도권,,44.4
2015,1.수도권,,46.2
2016,1.수도권,,45.4
2017,1.수도권,,45.6
2018,1.수도권,,42.6
2019,1.수도권,,42.0
2020,1.수도권,,56.9
2021,1.수도권,,49.9
2008,2.서울특별시,,51.0
2009,2.서울특별시,,49.6
2010,2.서울특별시,,49.4
2011,2.서울특별시,,46.1
2012,2.서울특별시,,46.1
2013,2.서울특별시,,45.9
2014,2.서울특별시,,46.2
2015,2.서울특별시,,47.5
2016,2.서울특별시,,46.9
2017,2.서울특별시,,48.1
2018,2.서울특별시,,45.8
2019,2.서울특별시,,44.5
2020,2.서울특별시,,60.2
2021,2.서울특별시,,52.9
2008,2.서울특별시,강남구,63.4
2009,2.서울특별시,강남구,58.8
2010,2.서울특별시,강남구,64.3
2011,2.서울특별시,강남구,55.8
2012,2.서울특별시,강남구,58.8
2013,2.서울특별시,강남구,50.5
2014,2.서울특별시,강남구,50.5
2015,2.서울특별시,강남구,48.7
2016,2.서울특별시,강남구,54.3
2017,2.서울특별시,강남구,56.3
2018,2.서울특별시,강남구,42.8
2019,2.서울특별시,강남구,48.0
2020,2.서울특별시,강남구,61.1
2021,2.서울특별시,강남구,58.3
2008,2.서울특별시,강동구,41.1
2009,2.서울특별시,강동구,42.3
2010,2.서울특별시,강동구,45.9
2011,2.서울특별시,강동구,55.3
2012,2.서울특별시,강동구,44.9
2013,2.서울특별시,강동구,47.3
2014,2.서울특별시,강동구,44.8
2015,2.서울특별시,강동구,48.5
2016,2.서울특별시,강동구,44.8
2017,2.서울특별시,강동구,52.0
2018,2.서울특별시,강동구,55.6
2019,2.서울특별시,강동구,51.8
2020,2.서울특별시,강동구,56.4
2021,2.서울특별시,강동구,55.4
2008,2.서울특별시,강북구,49.2
2009,2.서울특별시,강북구,50.7
2010,2.서울특별시,강북구,46.1
