Value,Disaggregation combinations using this value,Number of indicators
가평군,2,1
강남구,6,2
강동구,6,2
강북구,6,2
강서구,6,2
강화군,2,1
계양구,6,2
고양시,6,2
과천시,6,2
관악구,6,2
광명시,6,2
광주시,6,2
광진구,6,2
구로구,6,2
구리시,6,2
군포시,6,2
금천구,6,2
김포시,6,2
남동구,6,2
남양주시,6,2
노원구,6,2
도봉구,6,2
동구,6,2
동대문구,6,2
동두천시,6,2
동작구,6,2
마포구,6,2
미추홀구,6,2
부천시,6,2
부평구,6,2
서구,6,2
서대문구,6,2
서초구,6,2
성남시,6,2
성동구,6,2
성북구,6,2
송파구,6,2
수원시,6,2
시흥시,6,2
안산시,6,2
안성시,6,2
안양시,6,2
양주시,6,2
양천구,6,2
양평군,2,1
여주시,6,2
연수구,6,2
연천군,2,1
영등포구,6,2
오산시,6,2
옹진군,2,1
용산구,6,2
용인시,6,2
은평구,6,2
의왕시,6,2
의정부시,6,2
이천시,6,2
종로구,6,2
중구,12,2
중랑구,6,2
파주시,6,2
평택시,6,2
포천시,6,2
하남시,6,2
화성시,6,2
