Value,Disaggregation combinations using this value,Number of indicators
가평군,30,30
강남구,30,30
강동구,30,30
강북구,30,30
강서구,30,30
강화군,30,30
* 경기 본청,3,3
계양구,30,30
고양시,30,30
과천시,30,30
관악구,30,30
광명시,30,30
광주시,30,30
광진구,30,30
구로구,30,30
구리시,30,30
군포시,30,30
금천구,30,30
김포시,30,30
남동구,30,30
남양주시,30,30
노원구,30,30
도봉구,30,30
동구,30,30
동대문구,30,30
동두천시,30,30
동작구,30,30
마포구,30,30
미추홀구,30,30
부천시,30,30
부평구,30,30
서구,30,30
서대문구,30,30
* 서울 본청,3,3
서초구,30,30
성남시,30,30
성동구,30,30
성북구,30,30
송파구,30,30
수원시,30,30
시흥시,30,30
안산시,30,30
안성시,30,30
안양시,30,30
양주시,30,30
양천구,30,30
양평군,30,30
여주시,30,30
연수구,30,30
연천군,30,30
영등포구,30,30
오산시,30,30
옹진군,29,29
용산구,30,30
용인시,30,30
은평구,30,30
의왕시,30,30
의정부시,30,30
이천시,30,30
* 인천 본청,3,3
종로구,30,30
중구,60,30
중랑구,30,30
파주시,30,30
평택시,30,30
포천시,30,30
하남시,30,30
화성시,30,30
